,date,Positive,Negative
0,2017-08-11,3550,3550
1,2017-09-11,2763,2763
2,2017-01-06,4504,4504
3,2017-01-27,5523,5523
4,2017-02-26,3386,3386
5,2017-09-28,3637,3637
6,2016-11-08,13703,13703
7,2016-12-19,6062,6062
8,2017-01-24,5952,5952
9,2017-06-29,4566,4566
10,2017-09-29,3828,3828
11,2017-02-16,6237,6237
12,2017-07-31,4319,4319
13,2017-08-14,4792,4792
14,2017-08-18,5235,5235
15,2017-10-23,3448,3448
16,2017-12-02,4079,4079
17,2017-04-09,2396,2396
18,2017-12-25,1828,1828
19,2017-02-28,5488,5488
20,2017-03-28,4014,4014
21,2017-09-21,4092,4092
22,2018-01-23,4458,4458
23,2017-08-10,4518,4518
24,2018-02-26,5057,5057
25,2017-06-30,4368,4368
26,2017-08-19,2987,2987
27,2017-12-08,5055,5055
28,2017-01-30,7927,7927
29,2017-07-06,3744,3744
30,2017-05-11,6617,6617
31,2016-12-12,5682,5682
32,2017-02-10,4532,4532
33,2017-04-25,4187,4187
34,2018-01-11,5211,5211
35,2016-12-13,5354,5354
36,2017-10-24,4266,4266
37,2017-03-19,2997,2997
38,2017-05-26,5055,5055
39,2018-01-08,4570,4570
40,2018-01-18,4561,4561
41,2018-02-22,7029,7029
42,2017-01-04,4224,4224
43,2017-11-06,4322,4322
44,2017-11-26,2368,2368
45,2018-02-11,2309,2309
46,2017-06-28,4408,4408
47,2017-09-14,5584,5584
48,2017-10-09,3186,3186
49,2018-01-14,2905,2905
50,2017-04-03,4212,4212
51,2017-06-14,5702,5702
52,2017-12-04,4989,4989
53,2018-01-05,4267,4267
54,2018-01-13,3176,3176
55,2018-02-01,4597,4597
56,2018-02-04,2741,2741
57,2017-04-29,2334,2334
58,2017-08-08,4119,4119
59,2017-08-22,4244,4244
60,2017-11-16,6217,6217
61,2017-12-03,3237,3237
62,2017-02-07,6220,6220
63,2018-01-16,4460,4460
64,2017-10-27,4003,4003
65,2018-02-23,5831,5831
66,2017-01-10,5615,5615
67,2017-03-17,4149,4149
68,2017-10-05,3973,3973
69,2017-10-08,2575,2575
70,2017-05-10,5534,5534
71,2016-11-14,7212,7212
72,2017-01-21,5299,5299
73,2017-05-09,6764,6764
74,2017-07-03,3404,3404
75,2017-12-19,4001,4001
76,2017-04-07,4619,4619
77,2017-07-30,3223,3223
78,2016-12-15,5334,5334
79,2017-11-12,2614,2614
80,2017-12-31,1845,1845
81,2016-11-24,3995,3995
82,2017-06-08,8228,8228
83,2017-08-04,4143,4143
84,2018-01-12,5522,5522
85,2016-11-25,4171,4171
86,2016-11-30,5192,5192
87,2017-01-05,4229,4229
88,2017-06-01,5228,5228
89,2017-08-20,2460,2460
90,2017-04-02,2688,2688
91,2017-10-14,2236,2236
92,2018-02-27,4767,4767
93,2017-06-09,5271,5271
94,2018-01-20,3290,3290
95,2018-01-25,5260,5260
96,2016-11-19,4247,4247
97,2016-12-20,4929,4929
98,2016-12-21,5116,5116
99,2017-04-11,4383,4383
100,2017-04-12,3770,3770
101,2017-01-13,5091,5091
102,2017-10-18,3744,3744
