,state,Positive,Negative
0,Utah,0.25,0.8611111111111112
1,Hawaii,0.3055555555555556,0.9166666666666666
2,Minnesota,0.2925170068027211,0.8741496598639455
3,Ohio,0.2507042253521127,0.8929577464788733
4,Oregon,0.2811791383219955,0.9070294784580499
5,Arkansas,0.3076923076923077,0.9230769230769231
6,Texas,0.28886554621848737,0.8918067226890757
7,North Dakota,0.15,0.8
8,Pennsylvania,0.26229508196721313,0.9077868852459017
9,Connecticut,0.25555555555555554,0.8666666666666667
10,Nebraska,0.29508196721311475,0.8032786885245902
11,Vermont,0.18181818181818182,0.9393939393939394
12,Nevada,0.3116883116883117,0.9090909090909091
13,Washington,0.2519809825673534,0.901743264659271
14,Illinois,0.24630541871921183,0.916256157635468
15,Oklahoma,0.21739130434782608,0.855072463768116
16,Delaware,0.0,1.0
17,Alaska,0.2857142857142857,0.8571428571428571
18,New Mexico,0.02857142857142857,0.9142857142857143
19,West Virginia,0.2413793103448276,0.9310344827586207
20,Missouri,0.273224043715847,0.9234972677595629
21,Rhode Island,0.21739130434782608,0.9130434782608695
22,Georgia,0.18631178707224336,0.8745247148288974
23,Montana,0.3333333333333333,0.8181818181818182
24,Michigan,0.20677966101694914,0.9220338983050848
25,Virginia,0.2302158273381295,0.89568345323741
26,North Carolina,0.2671232876712329,0.8767123287671232
27,Wyoming,0.06666666666666667,1.0
28,Kansas,0.24719101123595505,0.7865168539325843
29,New Jersey,0.2793017456359102,0.8728179551122195
30,Maryland,0.25203252032520324,0.9024390243902439
31,Alabama,0.18478260869565216,0.9782608695652174
32,Arizona,0.27461139896373055,0.9015544041450777
33,Iowa,0.18571428571428572,0.8928571428571429
34,Massachusetts,0.26515151515151514,0.8964646464646465
35,Kentucky,0.28415300546448086,0.8907103825136612
36,Louisiana,0.18333333333333332,1.0
37,Mississippi,0.10714285714285714,0.9107142857142857
38,Tennessee,0.2631578947368421,0.8842105263157894
39,New Hampshire,0.27906976744186046,0.8837209302325582
40,Florida,0.29545454545454547,0.8739669421487604
41,Indiana,0.27611940298507465,0.9104477611940298
42,Idaho,0.23076923076923078,0.8461538461538461
43,South Carolina,0.24468085106382978,0.851063829787234
44,South Dakota,0.25,0.6875
45,California,0.24773242630385486,0.905328798185941
46,New York,0.2682119205298013,0.91280353200883
47,Wisconsin,0.26842105263157895,0.9
48,Colorado,0.21568627450980393,0.8897058823529411
49,Maine,0.26865671641791045,0.8656716417910447
